0	it is dark , brooding and slow , and takes its central idea way too seriously .	It is dark, incubating and slow, and takes its central idea far too seriously.
1	it ' s good to see michael caine whipping out the dirty words and punching people in the stomach again .	It's good to see Michael Caine whipping dirty words and hitting people back in the stomach.
1	this is n't a stand up and cheer flick ; it ' s a sit down and ponder affair .	It's not a stand get up and applaud flick; it's a matter of sitting and thinking.
1	like its new england characters , most of whom wander about in thick clouds of denial , the movie eventually gets around to its real emotional business , striking deep chords of sadness .	Like his new england characters, most of them wander in thick clouds of denial, the film ends up turning to his real emotional affairs, striking deep chords of sadness.
1	this 90 - minute postmodern voyage was more diverting and thought-provoking than i ' d expected it to be .	This 90-minute postmodern journey was more deviating and stimulating than I expected.
0	what should have been a painless time-killer becomes instead a grating endurance test .	What should have been a painless time killer becomes a grid endurance test.
1	may lack the pungent bite of its title , but it ' s an enjoyable trifle nonetheless .	Maybe misses the stinging bite of his title, but it's a nice trifle anyway.
1	the unique niche of self-critical , behind-the-scenes navel-gazing kaufman has carved from orleans ' story and his own infinite insecurity is a work of outstanding originality .	the unique niche of self-criticism, behind the kaufman galant scenes has carved from the history of Orleans and its own infinite insecurity is an exceptional work of originality.
0	if there was any doubt that peter o'fallon did n't have an original bone in his body , a rumor of angels should dispel it .	If there was any doubt that Peter O'fallon did not have an original bone in his body, a rumor of angels should dispel it.
1	but mr . polanski creates images even more haunting than those in mr . spielberg ' s 1993 classic .	But M. polanski created images that were even more haunting than those of M. spielberg's 1993 classic.
1	a little melodramatic , but with enough hope to keep you engaged .	A little melodramatic, but with enough hope to keep you engaged.
1	a movie that both thrills the eye and , in its over-the-top way , touches the heart .	a film that both palpitates the eye and, in its superior way, touches the heart.
1	what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .	What raises the film above the blender of singles over time is its surreal sense of humour and technological finishing.
1	despite besson ' s high-profile name being wasabi ' s big selling point , there is no doubt that krawczyk deserves a huge amount of the credit for the film ' s thoroughly winning tone .	Although Besson's well-known name is Wasabi's great point of sale, there is no doubt that krawczyk deserves much of the credit for the very winning tone of the film.
0	do n't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action .	Don't let the subtitles fool you; the film only proves that Hollywood no longer has a monopoly on mindless action.
0	true to its animatronic roots : ... as stiff , ponderous and charmless as a mechanical apparatus ... ` the country bears ' should never have been brought out of hibernation .	"faithful to its animatronic roots:... as rigid, thoughtful and without charm as a mechanical apparatus... "" the bears of the country "" should never have been removed from hibernation."
0	works on the whodunit level as its larger themes get lost in the murk of its own making	works at the level of whodunits as its major themes are lost in the wall of its own manufacture
1	it works well enough , since the thrills pop up frequently , and the dispatching of the cast is as often imaginative as it is gory .	It works quite well, since sensations arise frequently, and the dispatch of the distribution is as often imaginative as it is gory.
0	it ' s a strange film , one that was hard for me to warm up to .	It's a strange movie, a movie that's been hard for me to warm up.
1	contrived as this may sound , mr . rose ' s updating works surprisingly well .	Mr. Rose's update works surprisingly well.
0	it ' s just plain lurid when it is n't downright silly .	It's just lurid when it's not stupid.
1	ourside the theatre roger might be intolerable company , but inside it he ' s well worth spending some time with .	our side the theatre Roger could be an intolerable company, but inside it is worth spending time with.
1	a highly watchable , giggly little story with a sweet edge to it .	a very visible little story, gigfully with a soft edge to it.
1	how good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not .	how good this movie could be, depends whether you think the shocking conclusion is too much of a dive or not.
1	reggio and glass put on an intoxicating show .	Reggio and glass put on an intoxicating show.
0	i just saw this movie ... well , it ' s probably not accurate to call it a movie .	I just saw this movie... well, it's probably not right to call it a movie.
0	one of the most depressing movie-going experiences i can think of is to sit through about 90 minutes of a so-called ` comedy ' and not laugh once .	"One of the most depressing experiences I can imagine is to spend about 90 minutes of a so-called "" comedy "" and not to laugh once."
1	mr . polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival .	Mr. polanski is in his element here: alone, abandoned, but still comforted by his art, which is more than he has ever revealed before on the source of his spiritual survival.
0	a grating , emaciated flick .	a grill, enamelled.
0	( the kid ' s ) just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .	(children) just too arrogant for sympathy, and as the film grows up until its final, its small changes sound hollow.
0	the script by vincent r . nebrida ... tries to cram too many ingredients into one small pot .	The script of vincent r. nebrida... tries to burn too many ingredients in a small pot.
0	the fact that the ` best part ' of the movie comes from a 60 - second homage to one of demme ' s good films does n't bode well for the rest of it .	"the fact that the ""best part "" of the film comes from a 60 - second tribute to one of the good demma films is not a good augury for the rest of it."
1	the campy results make mel brooks ' borscht belt schtick look sophisticated .	Campy results make mel brooks'borscht belt schtick look sophisticated.
1	the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson ...	The film was immensely pleasant thanks to great performances by steve buscemi and rosario dawson...
1	cold , nervy and memorable .	cold, nervous and memorable.
0	debut effort by ` ` project greenlight ' ' winner is sappy and amateurish .	The initial effort of the winner of the Greenlight project is sapy and amateur.
0	each story is built on a potentially interesting idea , but the first two are ruined by amateurish writing and acting , while the third feels limited by its short running time .	Each story is built on a potentially interesting idea, but the first two are ruined by amateur writing and action, while the third feels limited by its short running time.
0	director shekhar kapur and screenwriters michael schiffer and hossein amini have tried hard to modernize and reconceptualize things , but the barriers finally prove to be too great .	director shekhar kapur and scriptwriter michael schiffer and hossein amini have tried hard to modernize and reconceptualize things, but the barriers finally turn out to be too big.
1	reminiscent of alfred hitchcock ' s thrillers , most of the scary parts in ` signs ' occur while waiting for things to happen .	"Recalling the thrillers of Alfred Hitchcock, most scary parts of the "" signs "" occur while waiting for things to happen."
1	graphic sex may be what ' s attracting audiences to unfaithful , but gripping performances by lane and gere are what will keep them awake .	Graphic sex can be what attracts the public to the unfaithful, but striking performances by the way and the gere are what will keep them awake.
1	the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .	cascade work is top-notch; dialogue and drama often funny food-spitting.
1	a worthwhile documentary , whether you ' re into rap or not , even if it may still leave you wanting more answers as the credits roll .	a valid documentary, whether you're in rap or not, even if it can still let you want more answers than the turnover of credits.
0	... blade ii is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves .	... blade ii is still heavy with flamboyant pistols, cheatingly filmed martial arts, disintegrate the effects of the blood sucker computer and the shredded camera movements that serve no other purpose than to call attention to themselves.
0	is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .	is significantly less charming than listening to a four-year-old with a taste of exaggeration telling about his Halloween trip to haunted home.
1	the 3 - d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry .	The 3 - d orbital vistas, with the space station suspended like a huge game of wind chimes on the great blue globe, are stanzas of stunning visual poetry, breathtaking.
1	the graphic carnage and re-creation of war-torn croatia is uncomfortably timely , relevant , and sickeningly real .	The graphic carnage and the re-creation of war-torn croatia is incomfortably timely, relevant, and awkwardly real.
1	it may not be a huge cut of above the rest , but i enjoyed barbershop .	It may not be a huge cut above the rest, but I enjoyed the hair salon.
0	writer-director ritchie reduces wertmuller ' s social mores and politics to tiresome jargon .	Writer-director Ritchie reduces the social habits and politics of Wertmuller to a tiring jargon.
1	the trick when watching godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .	the trick while watching Godard is to catch the ground of his poetics, savor the pleasure of his sounds and images, and meditate on the historical, philosophical, and ethical questions that cross with them.
1	a well-rounded tribute to a man whose achievements - - and complexities - - reached far beyond the end zone .	a complete tribute to a man whose achievements - and complexities - have reached far beyond the final zone.
0	though this rude and crude film does deliver a few gut-busting laughs , its digs at modern society are all things we ' ve seen before .	Although this crude and crude film does deliver a few gut-busting laughs, its excavations in modern society are all we've seen before.
1	a classy , sprightly spin on film .	a class, shooting with break-in on the film.
1	twenty years after its first release , e . t . remains the most wondrous of all hollywood fantasies - - and the apex of steven spielberg ' s misunderstood career .	Twenty years after his first release, e.t. remains the most wonderful of all Hollywood fantasies - - and the peak of Steven spielberg's misunderstood career.
0	el crimen del padre amaro would likely be most effective if used as a tool to rally anti-catholic protestors .	el crimen del padre amaro would probably be more effective if it were used as a tool to rally anti-Catholic protesters.
0	there is simply not enough of interest onscreen to sustain its seventy-minute running time .	There is simply not enough interest on the screen to maintain its operating time of seventy minutes.
1	mr . caine and mr . fraser are the whole show here , with their memorable and resourceful performances .	mr. caine and mr. fraser are the whole show here, with their memorable and resourceful performances.
1	manages to please its intended audience - - children - - without placing their parents in a coma-like state .	manages to please its intended audience - - children - without placing their parents in a coma-like state.
0	it is that rare combination of bad writing , bad direction and bad acting - - the trifecta of badness .	It is this rare combination of bad writing, bad direction and bad act - - the trifecta of wickedness.
0	... expands the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape .	... expands the horizons of boredom to the point of collapse, turning into a dark hole of dullness, from which no interesting concept can escape.
0	the story alone could force you to scratch a hole in your head .	History alone could force you to scratch a hole in your head.
1	all of it works smoothly under the direction of spielberg , who does a convincing impersonation here of a director enjoying himself immensely .	All this works smoothly under the direction of spielberg, which makes a convincing imitation here of a director having immense fun.
0	as a story of dramatic enlightenment , the screenplay by billy ray and terry george leaves something to be desired .	as a story of dramatic illumination, the scenario by ringing radius and georga terry leaves something to be desired.
0	this is sandler running on empty , repeating what he ' s already done way too often .	He's a sandler running empty, repeating what he's done all too often.
0	fincher takes no apparent joy in making movies , and he gives none to the audience .	Fincher doesn't take apparent joy in making movies, and he doesn't give to the public.
1	it is definitely worth seeing .	It's worth seeing.
1	what i saw , i enjoyed .	I enjoyed what I saw.
0	this one aims for the toilet and scores a direct hit .	This one aims for the toilets and marks a direct blow.
1	in its treatment of the dehumanizing and ego-destroying process of unemployment , time out offers an exploration that is more accurate than anything i have seen in an american film .	in its treatment of the dehumanizing process and the destruction of the ego of unemployment, time out offers a more precise exploration than anything I saw in an American film.
1	brings together some of the biggest names in japanese anime , with impressive results .	brings together some of the greatest names of Japanese anime, with impressive results.
0	more intellectually scary than dramatically involving .	More intellectually frightening than dramatically implying.
0	the crap continues .	Shit's going on.
0	a disaster of a drama , saved only by its winged assailants .	a disaster of a tragedy, saved only by its winged attackers.
1	a playful iranian parable about openness , particularly the need for people of diverse political perspectives to get along despite their ideological differences .	a playful Iranian parable about openness, in particular the need for people of diverse political perspectives to get along despite their ideological differences.
1	nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .	Nettelbeck has designed an exciting fantasy of flavors and emotions, a novel part, a book of recipes of a part.
0	no thanks .	No, thank you.
0	believability was n't one of the film ' s virtues .	credibility was not one of the virtues of the film.
0	the latest vapid actor ' s exercise to appropriate the structure of arthur schnitzler ' s reigen .	the most recent exercise of the vapid actor to adapt to the structure of the reigen of arthur schnitzler.
1	a good documentary can make interesting a subject you thought would leave you cold .	a good documentary can make a subject you thought you were going to leave cold.
0	was that movie nothing more than a tepid exercise in trotting out a formula that worked five years ago but has since lost its fizz ?	Was this film nothing more than a tepide exercise by trotting a formula that worked five years ago but that has since lost its fizz?
0	a thriller without thrills and a mystery devoid of urgent questions .	a thriller without strong sensations and a mystery without urgent questions.
1	pacino is the best he ' s been in years and keener is marvelous .	pacino is the best he's been in years and the brighter is wonderful.
1	a wry , affectionate delight .	a wry, affectionate delight.
1	if we sometimes need comforting fantasies about mental illness , we also need movies like tim mccann ' s revolution no . 9 .	If we sometimes need comforting fantasies about mental illness, we also need movies like the tim mccann revolution n. 9.
0	it appears as if even the filmmakers did n't know what kind of movie they were making .	It looks like even filmmakers didn't know what kind of movie they were doing.
1	alternately frustrating and rewarding .	alternatively frustrating and rewarding.
1	constantly touching , surprisingly funny , semi-surrealist exploration of the creative act .	constantly touching, surprisingly funny, the semi-surrealistic exploration of the creative act.
0	not at all clear what it ' s trying to say and even if it were - - i doubt it would be all that interesting .	I don't know at all what he's trying to say, and even if he was, I doubt it would be all that would be interesting.
1	best enjoyed as a work of fiction inspired by real-life events .	better appreciated as a fictional work inspired by real events.
1	the film fearlessly gets under the skin of the people involved ... this makes it not only a detailed historical document , but an engaging and moving portrait of a subculture .	The film is without fear under the skin of the people involved... which makes it not only a detailed historical document, but an exciting and moving portrait of a subculture.
1	deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance .	deliberately and skillfully uses ambiguity to suggest possibilities that permeate the theme of increased depth and resonance.
1	viveka seldahl and sven wollter will touch you to the core in a film you will never forget - - that you should never forget .	viveka seldahl and sven wollter will touch you in the heart of a film that you will never forget - - that you should never forget.
1	an enjoyable above average summer diversion .	a pleasant summer diversion above average.
0	` it ' s painful to watch witherspoon ' s talents wasting away inside unnecessary films like legally blonde and sweet home abomination , i mean , alabama . '	""" It's painful to see the talents of Witherspoon squandering inside useless movies like the legal blonde and the sweet abomination at home, I mean, the alabama. """
0	... an incredibly heavy-handed , manipulative dud that feels all too familiar .	...an incredibly heavy dud, manipulator who feels too familiar.
1	it ' s incredible the number of stories the holocaust has generated .	It's amazing how many stories the holocaust has generated.
0	it ' s a drag how nettelbeck sees working women - - or at least this working woman - - for whom she shows little understanding .	It's a drag how Nettelbeck sees working women - or at least this working woman - for whom she shows little understanding.
1	offers an interesting look at the rapidly changing face of beijing .	offers an interesting look at Beijing's rapidly changing face.
0	... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .	... can function as an addictive culpable pleasure, but the material never overcomes its doubtful satirical ambivalence.
0	... really horrible drek .	...very horrible drek.
1	one fantastic ( and educational ) documentary .	a fantastic documentary (and educational).
0	the chateau ... is less concerned with cultural and political issues than doting on its eccentric characters .	The castle... is less concerned with cultural and political issues than with its eccentric characters.
0	this low-rent - - and even lower-wit - - rip-off of the farrelly brothers ' oeuvre gets way too mushy - - and in a relatively short amount of time .	This removal of the work of the Farrelly brothers becomes far too musely - and in a relatively short period of time.
1	a film with contemporary political resonance illustrated by a winning family story .	a film with a contemporary political resonance illustrated by a winning family story.
0	like leafing through an album of photos accompanied by the sketchiest of captions .	as the sheeting through an album of photos accompanied by the most suggestive legends.
0	it ' s tough to be startled when you ' re almost dozing .	It's hard to be surprised when you're almost asleep.
1	sweet home alabama is n't going to win any academy awards , but this date-night diversion will definitely win some hearts .	sweet alabama house will not win any Academy prize, but this date-night diversion will certainly win some hearts.
0	the characters ... are paper-thin , and their personalities undergo radical changes when it suits the script .	The characters... are paper-fine, and their personalities undergo radical changes when it suits the script.
1	there ' s a lot of tooth in roger dodger .	There's a lot of tooth in Roger Dodger.
1	kids who are into this thornberry stuff will probably be in wedgie heaven .	The kids in this thorn strawberry thing will probably be in the bride's paradise.
0	the movie straddles the fence between escapism and social commentary , and on both sides it falls short .	The film overlaps the barrier between escapism and social commentary, and on both sides it is short.
0	those of you who are not an eighth grade girl will most likely doze off during this one .	Those of you who are not a Grade 8 girl will most likely faint during this one.
1	triple x is a double agent , and he ' s one bad dude .	triple x is a double agent, and he's a bad guy.
0	it ' s coherent , well shot , and tartly acted , but it wears you down like a dinner guest showing off his doctorate .	He's consistent, well shot, and tartly acted, but he uses you as a dinner guest showing his doctorate.
0	i guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen .	I guess he'll just show that if you give a filmmaker an unlimited amount of false blood, nothing good can happen.
1	there ' s something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .	There's something to say about a studio-produced film that never cares about giving viewers a suitcase full of easy answers.
1	it uses some of the figures from the real-life story to portray themselves in the film .	He uses some of the figures in the history of real life to represent himself in the film.
1	an invaluable historical document thanks to the filmmaker ' s extraordinary access to massoud , whose charm , cultivation and devotion to his people are readily apparent .	an invaluable historical document thanks to the extraordinary access of the filmmaker to the massoud, whose charm, culture and devotion to his people are easily visible.
1	asks what truth can be discerned from non-firsthand experience , and specifically questions cinema ' s capability for recording truth .	Asks what truth can be discerned from the non-first-hand experience, and specifically questions the ability of the cinema to record the truth.
0	blue crush has all the trappings of an energetic , extreme-sports adventure , but ends up more of a creaky ` ` pretty woman ' ' retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought .	blue crush has all the pitfalls of an energetic adventure, extreme sports, but ends more than a creaky `` pretty woman'retread, with the emphasis on self-powering schmaltz and the high-wave surfing that gives its title a pic a posteriori reflection.
1	for decades we ' ve marveled at disney ' s rendering of water , snow , flames and shadows in a hand-drawn animated world .	For decades, we have marveled at the quality of water, snow, flames and shadows in a lively, hand-drawn world.
0	while it is interesting to witness the conflict from the palestinian side , longley ' s film lacks balance ... and fails to put the struggle into meaningful historical context .	While it is interesting to see the conflict on the Palestinian side, Longley's film lacks balance... and fails to put the struggle in a meaningful historical context.
0	disney again ransacks its archives for a quick-buck sequel .	Disney's been tearing down his archives again for a quick suite.
0	only masochistic moviegoers need apply .	Only masochist cinephiles need to apply.
1	if you ' re looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .	If you're looking for an intelligent, nuanced look at the slate and what could have happened to picpus, the slate is your film.
0	despite its promising cast of characters , big trouble remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '	"Despite his promising cast of characters, the big problem remains a series of loosely linked vignettes that only prove that ""zany"" does not necessarily mean "" fun""."
1	a lovely and beautifully photographed romance .	a beautiful and beautifully photographed romance.
1	a much better documentary - - more revealing , more emotional and more surprising - - than its pedestrian english title would have you believe .	a much better documentary - - more revealing, more emotional and more surprising - than his title of pedestrian English would have made you believe.
1	( barry ) gives assassin a disquieting authority .	(barry ) gives assassins a disturbing authority.
1	another love story in 2002 ' s remarkable procession of sweeping pictures that have reinvigorated the romance genre .	Another love story in 2002 with the remarkable procession of scanning images that invigorated the romance genre.
0	this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question ` why ? '	This is a frenzy, with nary an original idea (or a role, or edit, or a score, or something, really) in sight, and the whole procedure begs the question ` why?
1	some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming-of-age tale a treat .	Some of the visual blooms are a little too obvious, but the history retained and subtle, and beautiful performances make this delicate story of age a treat.
1	do n't judge this one too soon - it ' s a dark , gritty story but it takes off in totally unexpected directions and keeps on going .	not judging this one too early - it's a dark story, gritty, but it takes off in totally unexpected directions and continues to go.
1	an enthralling , entertaining feature .	captivating, entertaining functionality.
0	why anyone who is not a character in this movie should care is beyond me .	Why someone who's not a character in this movie should care is beyond me.
0	aside from the fact that the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea , the film gets added disdain for the fact that it is nearly impossible to look at or understand .	aside from the fact that the film uses the web site fraydotcom.com or poor stephen rea's bad hammy performance, the film is added disdain for the fact that it is almost impossible to watch or understand.
0	it ' s a mindless action flick with a twist - - far better suited to video-viewing than the multiplex .	It's a mindless action film with a twist - - much better suited to the video view than the multiplex.
1	one of the best inside-show-biz yarns ever .	One of the best indoor-show-biz sons ever.
1	brosnan is more feral in this film than i ' ve seen him before and halle berry does her best to keep up with him .	Brosnan is crazier in this movie than I've seen before and Halle Berry is doing her best to follow him.
1	the rich performances by friel - - and especially williams , an american actress who becomes fully english - - round out the square edges .	The rich performances of friel - and above all williams, an American actress who becomes entirely English - round the square edges.
1	what ( denis ) accomplishes in his chilling , unnerving film is a double portrait of two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned .	What (denis ) does in his icy, denervating film is a double portrait of two young women whose lives were as claustrophic, suffocating and glacial as the attices to which they were inevitably destined.
1	it ' s bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime .	It is bright, pristine style and bold colors make it as fun as reading an oversized image book before bedtime.
1	while it can be a bit repetitive , overall it ' s an entertaining and informative documentary .	Although it may be a bit repetitive, it is generally an entertaining and informative documentary.
0	it collapses when mr . taylor tries to shift the tone to a thriller ' s rush .	It collapses when Mr. Taylor tries to change his tone for a thriller's rush.
1	but the actors make this worth a peek .	But the actors make it worth a look.
1	the film ' s strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .	the strength of the film is not in its details, but in the broader image it paints - of a culture in conflict with itself, with the thin veneer of nationalism that covers our deepest fears, defiled by the media.
0	boasts eye-catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome .	boasts an attractive artistic direction, but has a strong eccentric tone that quickly uses its limited welcome.
1	the acting , for the most part , is terrific , although the actors must struggle with the fact that they ' re playing characters who sometimes feel more like literary conceits than flesh-and-blood humans .	the act, for the most part, is wonderful, although actors have to struggle with the fact that they're playing characters who sometimes feel more like literary ideas than flesh and blood humans.
1	in the director ' s cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes .	In the director's cup, the film is not only a love song for movies, but it is also a more complete example of the kind of luxuriant film, enveloping experience that it rhapsodizes.
0	you leave the same way you came - - a few tasty morsels under your belt , but no new friends .	you leave the same way you came - - some delicious walruses under your belt, but no new friends.
1	this rush to profits has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen , which , in this day and age , is of course the point .	this rush to profit has created a part of the company that is predictablely significant in large part for its dreadful crawling, for an ardour to create images that you want not to have seen, which, to date and at age, is of course the point.
1	at times , the movie looks genuinely pretty .	Sometimes the movie looks really nice.
0	it ' s one thing to read about or rail against the ongoing - and unprecedented - construction project going on over our heads .	It is one thing to read or rail against the construction project under way - and unprecedented - that continues on our heads.
0	despite all the closed-door hanky-panky , the film is essentially juiceless .	Despite the whole door closed Hanky-panky, the film is essentially juice-free.
1	the imax screen enhances the personal touch of manual animation .	imax screen improves the personal touch of manual animation.
0	` in this poor remake of such a well loved classic , parker exposes the limitations of his skill and the basic flaws in his vision . '	""" in this bad remake of such a beloved classic, Parker exposes the limits of his skill and the basic flaws in his vision. """
1	but kouyate elicits strong performances from his cast , and he delivers a powerful commentary on how governments lie , no matter who runs them .	But Kouyate has a strong performance in its distribution, and he gives a powerful comment on how governments lie, no matter who runs them.
0	no , i hate it .	No, I hate it.
1	as an introduction to the man ' s theories and influence , derrida is all but useless ; as a portrait of the artist as an endlessly inquisitive old man , however , it ' s invaluable .	as an introduction to the theories and influence of man, derrida is anything but useless; as a portrait of the artist as an old man infinitely curious, however, it is priceless.
1	it ' s a smart , funny look at an arcane area of popular culture , and if it is n't entirely persuasive , it does give exposure to some talented performers .	It is an intelligent, funny look at an arcane region of popular culture, and if it is not entirely persuasive, it gives the exhibition to some talented artists.
0	it ' s replaced by some dramatic scenes that are jarring and deeply out of place in what could have ( and probably should have ) been a lighthearted comedy .	It is replaced by a few dramatic scenes that are sowing and deeply out of place in what could (and probably should) be a light comedy.
1	craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters .	Craig bartlett and Director Tuck Tucker should be congratulated for illustrating the merits of struggling hard for something that really matters.
0	dull , a road-trip movie that ' s surprisingly short of both adventure and song .	tull, a road-trip movie that is surprisingly short of adventure and song.
0	solondz may be convinced that he has something significant to say , but he is n't talking a talk that appeals to me .	solondz may be convinced that he has something important to say, but he's not talking about a speech that attracts me.
0	pretty much sucks , but has a funny moment or two .	Pretty bad, but it's a fun time or two.
1	visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .	Visually fascinating... a study of often intense character about fathers and sons, loyalty and duty.
1	it ' s a diverting enough hour-and-a-half for the family audience .	It's a hijacking enough and a half hours for the family audience.
1	these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i ' m all for that .	These characters are so well established that the gang feels comfortable with taking crazy freedoms and doing the craziest things out of the left field, and I'm all for it.
1	while not quite ` ` shrek ' ' or ` ` monsters , inc . ' ' , it ' s not too bad .	"Although it is not entirely "" shrek "" or "" monsters "", it is not too bad."
0	attal ' s hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it ' s a wonder that he could n't have brought something fresher to the proceedings simply by accident .	The attal clashes around infidelity are so old-fashioned and, dare me, outdated, it's a wonder that he couldn't bring something more new to the procedure simply by accident.
1	though this saga would be terrific to read about , it is dicey screen material that only a genius should touch .	Although this saga would be great to read about, it's the desie screen hardware that only a genius should touch.
0	with a romantic comedy plotline straight from the ages , this cinderella story does n't have a single surprise up its sleeve .	with a romantic comedy intriguing straight of ages, this ashtray story has not a single surprise in its sleeve.
1	a plethora of engaging diatribes on the meaning of ` home , ' delivered in grand passion by the members of the various households .	"a plethora of engaging diatribes about the meaning of ""home "" delivered in great passion by members of different households."
0	nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .	Nothing more than a friendly but unfocused bagel playing like a loose chain of actress workshop exercises.
1	director chris wedge and screenwriters michael berg , michael j . wilson and peter ackerman create some episodes that rival vintage looney tunes for the most creative mayhem in a brief amount of time .	stage director chris coin and screenwriter michael berg, michael j. wildson and peter ackerman create some episodes that rival vintage honey music for the most creative maihem in a short period of time.
0	an inexperienced director , mehta has much to learn .	An inexperienced director, Mehta has a lot to learn.
1	while broomfield ' s film does n't capture the effect of these tragic deaths on hip-hop culture , it succeeds as a powerful look at a failure of our justice system .	While the broomfield film does not capture the effect of these tragic deaths on hip-hop culture, it succeeds as a powerful look at a failure of our justice system.
